duration,voicing,word,segment,speed,participant,
130.75,Vl,muck,ʌ,normal,Alex,
178.81,Vl,burton,ɜ:ʳ,normal,Alex,
168.57,Vl,buck,ʌ,normal,Alex,
235.85,Vl,rice,aI,normal,Alex,
191.13,Vl,eight,eI,normal,Alex,
216.78,Vl,batch,æ,normal,Alex,
62.88,Vl,picky,I,normal,Alex,
195.15,Vd,cud,ʌ,slow,Alex,
291.43,Vd,mug,ʌ,slow,Alex,
98.38,Vd,piggy,I,slow,Alex,
447.58,Vd,rise,aI,slow,Alex,
353.71,Vd,aid,eI,slow,Alex,
239.18,Vd,burden,ɜ:ʳ,slow,Alex,
297.75,Vd,badge,æ,slow,Alex,
185.77,Vd,bigger,I,slow,Alex,
245.86,Vd,bug,ʌ,slow,Alex,
113.31,Vd,nibble,I,slow,Alex,
359.78,Vd,leave,i,slow,Alex,
336.07,Vd,serve,ɜ:ʳ,slow,Alex,
150.42,Vd,fuzzy,ʌ,slow,Alex,
103.09,Vl,bicker,I,slow,Alex,
222.97,Vl,leaf,i,slow,Alex,
88.92,Vl,nipple,I,slow,Alex,
180.26,Vl,surf,ɜ:ʳ,slow,Alex,
159.08,Vl,cut,ʌ,slow,Alex,
108.04,Vl,fussy,ʌ,slow,Alex,
150.69,Vl,muck,ʌ,slow,Alex,
160.9,Vl,burton,ɜ:ʳ,slow,Alex,
178.59,Vl,buck,ʌ,slow,Alex,
277.88,Vl,rice,aI,slow,Alex,
206.81,Vl,eight,eI,slow,Alex,
272.31,Vl,batch,æ,slow,Alex,
59.47,Vl,picky,I,slow,Alex,
128.73,Vd,cud,ʌ,fast,Ellen,
131.41,Vd,mug,ʌ,fast,Ellen,
60.75,Vd,piggy,I,fast,Ellen,
204.62,Vd,rise,aI,fast,Ellen,
155.32,Vd,aid,eI,fast,Ellen,
94.01,Vd,burden,ɜ:ʳ,fast,Ellen,
154.7,Vd,badge,æ,fast,Ellen,
82.03,Vd,bigger,I,fast,Ellen,
93.81,Vd,bug,ʌ,fast,Ellen,
61.61,Vd,nibble,I,fast,Ellen,
165.39,Vd,leave,i,fast,Ellen,
117.86,Vd,serve,ɜ:ʳ,fast,Ellen,
71.37,Vd,fuzzy,ʌ,fast,Ellen,
50.15,Vl,bicker,I,fast,Ellen,
110.14,Vl,leaf,i,fast,Ellen,
42.05,Vl,nipple,I,fast,Ellen,
95.58,Vl,surf,ɜ:ʳ,fast,Ellen,
80.03,Vl,cut,ʌ,fast,Ellen,
75.27,Vl,fussy,ʌ,fast,Ellen,
76.03,Vl,muck,ʌ,fast,Ellen,
95.51,Vl,burton,ɜ:ʳ,fast,Ellen,
87.82,Vl,buck,ʌ,fast,Ellen,
130.95,Vl,rice,aI,fast,Ellen,
140.68,Vl,eight,eI,fast,Ellen,
130.05,Vl,batch,æ,fast,Ellen,
53.99,Vl,picky,I,fast,Ellen,
156.42,Vd,cud,ʌ,normal,Ellen,
149.73,Vd,mug,ʌ,normal,Ellen,
85.75,Vd,piggy,I,normal,Ellen,
315.52,Vd,rise,aI,normal,Ellen,
205.53,Vd,aid,eI,normal,Ellen,
131.51,Vd,burden,ɜ:ʳ,normal,Ellen,
258.01,Vd,badge,æ,normal,Ellen,
61.72,Vd,bigger,I,normal,Ellen,
113.65,Vd,bug,ʌ,normal,Ellen,
66.12,Vd,nibble,I,normal,Ellen,
253.23,Vd,leave,i,normal,Ellen,
208.75,Vd,serve,ɜ:ʳ,normal,Ellen,
89.88,Vd,fuzzy,ʌ,normal,Ellen,
50.6,Vl,bicker,I,normal,Ellen,
114.29,Vl,leaf,i,normal,Ellen,
63.51,Vl,nipple,I,normal,Ellen,
111.14,Vl,surf,ɜ:ʳ,normal,Ellen,
84.08,Vl,cut,ʌ,normal,Ellen,
63.16,Vl,fussy,ʌ,normal,Ellen,
81.49,Vl,muck,ʌ,normal,Ellen,
107.72,Vl,burton,ɜ:ʳ,normal,Ellen,
54.35,Vl,buck,ʌ,normal,Ellen,
117.65,Vl,rice,aI,normal,Ellen,
156.4,Vl,eight,eI,normal,Ellen,
164.24,Vl,batch,æ,normal,Ellen,
46.9,Vl,picky,I,normal,Ellen,
191.8,Vd,cud,ʌ,slow,Ellen,
217.49,Vd,mug,ʌ,slow,Ellen,
97.06,Vd,piggy,I,slow,Ellen,
407.65,Vd,rise,aI,slow,Ellen,
350.77,Vd,aid,eI,slow,Ellen,
189.74,Vd,burden,ɜ:ʳ,slow,Ellen,
379.75,Vd,badge,æ,slow,Ellen,
76.16,Vd,bigger,I,slow,Ellen,
222.19,Vd,bug,ʌ,slow,Ellen,
90.38,Vd,nibble,I,slow,Ellen,
337.08,Vd,leave,i,slow,Ellen,
300.3,Vd,serve,ɜ:ʳ,slow,Ellen,
95.14,Vd,fuzzy,ʌ,slow,Ellen,
80.45,Vl,bicker,I,slow,Ellen,
171.76,Vl,leaf,i,slow,Ellen,
71.67,Vl,nipple,I,slow,Ellen,
235.51,Vl,surf,ɜ:ʳ,slow,Ellen,
109.73,Vl,cut,ʌ,slow,Ellen,
93.88,Vl,fussy,ʌ,slow,Ellen,
88.69,Vl,muck,ʌ,slow,Ellen,
126.72,Vl,burton,ɜ:ʳ,slow,Ellen,
174.23,Vl,buck,ʌ,slow,Ellen,
224.4,Vl,rice,aI,slow,Ellen,
190.63,Vl,eight,eI,slow,Ellen,
208.06,Vl,batch,æ,slow,Ellen,
53.15,Vl,picky,I,slow,Ellen,
114.68,Vd,cud,ʌ,fast,Elise,
147.74,Vd,mug,ʌ,fast,Elise,
78.99,Vd,piggy,I,fast,Elise,
298.81,Vd,rise,aI,fast,Elise,
215.96,Vd,aid,eI,fast,Elise,
173.43,Vd,burden,ɜ:ʳ,fast,Elise,
251.12,Vd,badge,æ,fast,Elise,
119.21,Vd,bigger,I,fast,Elise,
201.4,Vd,bug,ʌ,fast,Elise,
97.87,Vd,nibble,I,fast,Elise,
145.77,Vd,leave,i,fast,Elise,
218.17,Vd,serve,ɜ:ʳ,fast,Elise,
105.81,Vd,fuzzy,ʌ,fast,Elise,
84.01,Vl,bicker,I,fast,Elise,
130.04,Vl,leaf,i,fast,Elise,
68.01,Vl,nipple,I,fast,Elise,
150.35,Vl,surf,ɜ:ʳ,fast,Elise,
114.05,Vl,cut,ʌ,fast,Elise,
94.62,Vl,fussy,ʌ,fast,Elise,
118.03,Vl,muck,ʌ,fast,Elise,
143.2,Vl,burton,ɜ:ʳ,fast,Elise,
112.25,Vl,buck,ʌ,fast,Elise,
477.44,Vl,rice,aI,fast,Elise,
175.91,Vl,eight,eI,fast,Elise,
140.67,Vl,batch,æ,fast,Elise,
111.05,Vl,picky,I,fast,Elise,
133.06,Vd,cud,ʌ,normal,Elise,
126.68,Vd,mug,ʌ,normal,Elise,
78.28,Vd,piggy,I,normal,Elise,
327.45,Vd,rise,aI,normal,Elise,
246.91,Vd,aid,eI,normal,Elise,
170.83,Vd,burden,ɜ:ʳ,normal,Elise,
309.05,Vd,badge,æ,normal,Elise,
161.21,Vd,bigger,I,normal,Elise,
179.88,Vd,bug,ʌ,normal,Elise,
88.54,Vd,nibble,I,normal,Elise,
206.83,Vd,leave,i,normal,Elise,
170.25,Vd,serve,ɜ:ʳ,normal,Elise,
126.49,Vd,fuzzy,ʌ,normal,Elise,
75.55,Vl,bicker,I,normal,Elise,
128.11,Vl,leaf,i,normal,Elise,
71.27,Vl,nipple,I,normal,Elise,
153.8,Vl,surf,ɜ:ʳ,normal,Elise,
150.53,Vl,cut,ʌ,normal,Elise,
91.93,Vl,fussy,ʌ,normal,Elise,
114.16,Vl,muck,ʌ,normal,Elise,
129.76,Vl,burton,ɜ:ʳ,normal,Elise,
153.9,Vl,buck,ʌ,normal,Elise,
211.83,Vl,rice,aI,normal,Elise,
164.6,Vl,eight,eI,normal,Elise,
178.46,Vl,batch,æ,normal,Elise,
60.9,Vl,picky,I,normal,Elise,
235.16,Vd,cud,ʌ,slow,Elise,
181.25,Vd,mug,ʌ,slow,Elise,
105.57,Vd,piggy,I,slow,Elise,
465.79,Vd,rise,aI,slow,Elise,
306.96,Vd,aid,eI,slow,Elise,
205.54,Vd,burden,ɜ:ʳ,slow,Elise,
299.81,Vd,badge,æ,slow,Elise,
129.53,Vd,bigger,I,slow,Elise,
172.75,Vd,bug,ʌ,slow,Elise,
97.9,Vd,nibble,I,slow,Elise,
203.51,Vd,leave,i,slow,Elise,
218.9,Vd,serve,ɜ:ʳ,slow,Elise,
103.99,Vd,fuzzy,ʌ,slow,Elise,
107.61,Vl,bicker,I,slow,Elise,
132.72,Vl,leaf,i,slow,Elise,
109.18,Vl,nipple,I,slow,Elise,
144.91,Vl,surf,ɜ:ʳ,slow,Elise,
87.58,Vl,cut,ʌ,slow,Elise,
122.84,Vl,fussy,ʌ,slow,Elise,
123.02,Vl,muck,ʌ,slow,Elise,
146.12,Vl,burton,ɜ:ʳ,slow,Elise,
166.2,Vl,buck,ʌ,slow,Elise,
184.44,Vl,rice,aI,slow,Elise,
201.64,Vl,eight,eI,slow,Elise,
215.43,Vl,batch,æ,slow,Elise,
62,Vl,picky,I,slow,Elise,
89.73,Vd,cud,ʌ,fast,Michael,
118.45,Vd,mug,ʌ,fast,Michael,
80.18,Vd,piggy,I,fast,Michael,
148.27,Vd,rise,aI,fast,Michael,
126.86,Vd,aid,eI,fast,Michael,
124.62,Vd,burden,ɜ:ʳ,fast,Michael,
174.5,Vd,badge,æ,fast,Michael,
71.76,Vd,bigger,I,fast,Michael,
106.41,Vd,bug,ʌ,fast,Michael,
44.01,Vd,nibble,I,fast,Michael,
157.33,Vd,leave,i,fast,Michael,
176.8,Vd,serve,ɜ:ʳ,fast,Michael,
79.71,Vd,fuzzy,ʌ,fast,Michael,
71.08,Vl,bicker,I,fast,Michael,
96.89,Vl,leaf,i,fast,Michael,
51.35,Vl,nipple,I,fast,Michael,
114.17,Vl,surf,ɜ:ʳ,fast,Michael,
78.61,Vl,cut,ʌ,fast,Michael,
71.02,Vl,fussy,ʌ,fast,Michael,
74.5,Vl,muck,ʌ,fast,Michael,
91.7,Vl,burton,ɜ:ʳ,fast,Michael,
78.13,Vl,buck,ʌ,fast,Michael,
113.84,Vl,rice,aI,fast,Michael,
162.59,Vl,eight,eI,fast,Michael,
158.61,Vl,batch,æ,fast,Michael,
53.42,Vl,picky,I,fast,Michael,
110.41,Vd,cud,ʌ,normal,Michael,
168.46,Vd,mug,ʌ,normal,Michael,
89.09,Vd,piggy,I,normal,Michael,
243.08,Vd,rise,aI,normal,Michael,
213.37,Vd,aid,eI,normal,Michael,
152.49,Vd,burden,ɜ:ʳ,normal,Michael,
198.95,Vd,badge,æ,normal,Michael,
113.16,Vd,bigger,I,normal,Michael,
152.08,Vd,bug,ʌ,normal,Michael,
120.01,Vd,nibble,I,normal,Michael,
122.55,Vd,leave,i,normal,Michael,
244.74,Vd,serve,ɜ:ʳ,normal,Michael,
87.02,Vd,fuzzy,ʌ,normal,Michael,
76.33,Vl,bicker,I,normal,Michael,
103.31,Vl,leaf,i,normal,Michael,
67.77,Vl,nipple,I,normal,Michael,
127.06,Vl,surf,ɜ:ʳ,normal,Michael,
127.78,Vl,cut,ʌ,normal,Michael,
90.32,Vl,fussy,ʌ,normal,Michael,
109.22,Vl,muck,ʌ,normal,Michael,
130.14,Vl,burton,ɜ:ʳ,normal,Michael,
83.91,Vl,buck,ʌ,normal,Michael,
189.53,Vl,rice,aI,normal,Michael,
168.24,Vl,eight,eI,normal,Michael,
193.26,Vl,batch,æ,normal,Michael,
62.19,Vl,picky,I,normal,Michael,
115.17,Vd,cud,ʌ,slow,Michael,
164.29,Vd,mug,ʌ,slow,Michael,
83.37,Vd,piggy,I,slow,Michael,
291.22,Vd,rise,aI,slow,Michael,
173.04,Vd,aid,eI,slow,Michael,
164.22,Vd,burden,ɜ:ʳ,slow,Michael,
214.42,Vd,badge,æ,slow,Michael,
100.57,Vd,bigger,I,slow,Michael,
187.29,Vd,bug,ʌ,slow,Michael,
70.47,Vd,nibble,I,slow,Michael,
159.73,Vd,leave,i,slow,Michael,
203.93,Vd,serve,ɜ:ʳ,slow,Michael,
95.73,Vd,fuzzy,ʌ,slow,Michael,
73.19,Vl,bicker,I,slow,Michael,
95.93,Vl,leaf,i,slow,Michael,
57.94,Vl,nipple,I,slow,Michael,
135.46,Vl,surf,ɜ:ʳ,slow,Michael,
118.52,Vl,cut,ʌ,slow,Michael,
55.27,Vl,fussy,ʌ,slow,Michael,
94.65,Vl,muck,ʌ,slow,Michael,
137.61,Vl,burton,ɜ:ʳ,slow,Michael,
98.12,Vl,buck,ʌ,slow,Michael,
164.68,Vl,rice,aI,slow,Michael,
164.49,Vl,eight,eI,slow,Michael,
164.51,Vl,batch,æ,slow,Michael,
89.71,Vl,picky,I,slow,Michael,
99.2,Vd,cud,ʌ,fast,Jason,
52.92,Vd,mug,ʌ,fast,Jason,
49.81,Vd,piggy,I,fast,Jason,
132.24,Vd,rise,aI,fast,Jason,
162.89,Vd,aid,eI,fast,Jason,
77.03,Vd,burden,ɜ:ʳ,fast,Jason,
151.17,Vd,badge,æ,fast,Jason,
51.04,Vd,bigger,I,fast,Jason,
59.82,Vd,bug,ʌ,fast,Jason,
36.91,Vd,nibble,I,fast,Jason,
74.81,Vd,leave,i,fast,Jason,
208.39,Vd,serve,ɜ:ʳ,fast,Jason,
120.83,Vd,fuzzy,ʌ,fast,Jason,
60.96,Vl,bicker,I,fast,Jason,
75.99,Vl,leaf,i,fast,Jason,
38.68,Vl,nipple,I,fast,Jason,
89.31,Vl,surf,ɜ:ʳ,fast,Jason,
90.44,Vl,cut,ʌ,fast,Jason,
68.83,Vl,fussy,ʌ,fast,Jason,
56.56,Vl,muck,ʌ,fast,Jason,
74.87,Vl,burton,ɜ:ʳ,fast,Jason,
46.01,Vl,buck,ʌ,fast,Jason,
116.87,Vl,rice,aI,fast,Jason,
94.33,Vl,eight,eI,fast,Jason,
93.63,Vl,batch,æ,fast,Jason,
30.49,Vl,picky,I,fast,Jason,
107.73,Vd,cud,ʌ,normal,Jason,
110.08,Vd,mug,ʌ,normal,Jason,
57.86,Vd,piggy,I,normal,Jason,
220.01,Vd,rise,aI,normal,Jason,
124.91,Vd,aid,eI,normal,Jason,
141.41,Vd,burden,ɜ:ʳ,normal,Jason,
168.17,Vd,badge,æ,normal,Jason,
75.83,Vd,bigger,I,normal,Jason,
141.22,Vd,bug,ʌ,normal,Jason,
62.19,Vd,nibble,I,normal,Jason,
182.75,Vd,leave,i,normal,Jason,
178.44,Vd,serve,ɜ:ʳ,normal,Jason,
96.45,Vd,fuzzy,ʌ,normal,Jason,
52.39,Vl,bicker,I,normal,Jason,
110.61,Vl,leaf,i,normal,Jason,
50.59,Vl,nipple,I,normal,Jason,
116.63,Vl,surf,ɜ:ʳ,normal,Jason,
62.95,Vl,cut,ʌ,normal,Jason,
95.82,Vl,fussy,ʌ,normal,Jason,
131.27,Vl,muck,ʌ,normal,Jason,
114.74,Vl,burton,ɜ:ʳ,normal,Jason,
93.87,Vl,buck,ʌ,normal,Jason,
137.23,Vl,rice,aI,normal,Jason,
108.23,Vl,eight,eI,normal,Jason,
134.22,Vl,batch,æ,normal,Jason,
32.18,Vl,picky,I,normal,Jason,
170.5,Vd,cud,ʌ,slow,Jason,
140.67,Vd,mug,ʌ,slow,Jason,
77.86,Vd,piggy,I,slow,Jason,
347.65,Vd,rise,aI,slow,Jason,
284.56,Vd,aid,eI,slow,Jason,
165.78,Vd,burden,ɜ:ʳ,slow,Jason,
274.48,Vd,badge,æ,slow,Jason,
127.97,Vd,bigger,I,slow,Jason,
204.74,Vd,bug,ʌ,slow,Jason,
90.95,Vd,nibble,I,slow,Jason,
294.98,Vd,leave,i,slow,Jason,
290.93,Vd,serve,ɜ:ʳ,slow,Jason,
126.65,Vd,fuzzy,ʌ,slow,Jason,
44.6,Vl,bicker,I,slow,Jason,
122.1,Vl,leaf,i,slow,Jason,
59.28,Vl,nipple,I,slow,Jason,
160.03,Vl,surf,ɜ:ʳ,slow,Jason,
112.05,Vl,cut,ʌ,slow,Jason,
87.54,Vl,fussy,ʌ,slow,Jason,
101.66,Vl,muck,ʌ,slow,Jason,
130.48,Vl,burton,ɜ:ʳ,slow,Jason,
96.96,Vl,buck,ʌ,slow,Jason,
216.28,Vl,rice,aI,slow,Jason,
143.55,Vl,eight,eI,slow,Jason,
238.91,Vl,batch,æ,slow,Jason,
40.12,Vl,picky,I,slow,Jason,
131.6,Vd,cud,ʌ,fast,Pat,
108.73,Vd,mug,ʌ,fast,Pat,
51.03,Vd,piggy,I,fast,Pat,
153.29,Vd,rise,aI,fast,Pat,
258.84,Vd,aid,eI,fast,Pat,
98.7,Vd,burden,ɜ:ʳ,fast,Pat,
122.28,Vd,badge,æ,fast,Pat,
52,Vd,bigger,I,fast,Pat,
134.65,Vd,bug,ʌ,fast,Pat,
63.11,Vd,nibble,I,fast,Pat,
106,Vd,leave,i,fast,Pat,
109.62,Vd,serve,ɜ:ʳ,fast,Pat,
36.88,Vd,fuzzy,ʌ,fast,Pat,
69.12,Vl,bicker,I,fast,Pat,
97.12,Vl,leaf,i,fast,Pat,
39.96,Vl,nipple,I,fast,Pat,
68.48,Vl,surf,ɜ:ʳ,fast,Pat,
88.79,Vl,cut,ʌ,fast,Pat,
56.4,Vl,fussy,ʌ,fast,Pat,
64.75,Vl,muck,ʌ,fast,Pat,
118.33,Vl,burton,ɜ:ʳ,fast,Pat,
83.46,Vl,buck,ʌ,fast,Pat,
147.77,Vl,rice,aI,fast,Pat,
214.94,Vl,eight,eI,fast,Pat,
112.09,Vl,batch,æ,fast,Pat,
51.02,Vl,picky,I,fast,Pat,
79.13,Vd,cud,ʌ,normal,Pat,
88.26,Vd,mug,ʌ,normal,Pat,
68.85,Vd,piggy,I,normal,Pat,
194.38,Vd,rise,aI,normal,Pat,
176.28,Vd,aid,eI,normal,Pat,
109.11,Vd,burden,ɜ:ʳ,normal,Pat,
218.28,Vd,badge,æ,normal,Pat,
119.91,Vd,bigger,I,normal,Pat,
101.39,Vd,bug,ʌ,normal,Pat,
65.23,Vd,nibble,I,normal,Pat,
150.6,Vd,leave,i,normal,Pat,
177.49,Vd,serve,ɜ:ʳ,normal,Pat,
88.01,Vd,fuzzy,ʌ,normal,Pat,
69.34,Vl,bicker,I,normal,Pat,
94.9,Vl,leaf,i,normal,Pat,
54.88,Vl,nipple,I,normal,Pat,
105.55,Vl,surf,ɜ:ʳ,normal,Pat,
73.39,Vl,cut,ʌ,normal,Pat,
94.17,Vl,fussy,ʌ,normal,Pat,
78.05,Vl,muck,ʌ,normal,Pat,
107.77,Vl,burton,ɜ:ʳ,normal,Pat,
88.07,Vl,buck,ʌ,normal,Pat,
144.64,Vl,rice,aI,normal,Pat,
167.27,Vl,eight,eI,normal,Pat,
166.61,Vl,batch,æ,normal,Pat,
47.79,Vl,picky,I,normal,Pat,
246.6,Vd,cud,ʌ,slow,Pat,
186.71,Vd,mug,ʌ,slow,Pat,
126.73,Vd,piggy,I,slow,Pat,
290.7,Vd,rise,aI,slow,Pat,
381.32,Vd,aid,eI,slow,Pat,
159.72,Vd,burden,ɜ:ʳ,slow,Pat,
316.36,Vd,badge,æ,slow,Pat,
158.4,Vd,bigger,I,slow,Pat,
324.37,Vd,bug,ʌ,slow,Pat,
143.99,Vd,nibble,I,slow,Pat,
452.67,Vd,leave,i,slow,Pat,
357.52,Vd,serve,ɜ:ʳ,slow,Pat,
157.39,Vd,fuzzy,ʌ,slow,Pat,
95.44,Vl,bicker,I,slow,Pat,
221.73,Vl,leaf,i,slow,Pat,
90.52,Vl,nipple,I,slow,Pat,
187.21,Vl,surf,ɜ:ʳ,slow,Pat,
214.63,Vl,cut,ʌ,slow,Pat,
114.62,Vl,fussy,ʌ,slow,Pat,
239.48,Vl,muck,ʌ,slow,Pat,
158.07,Vl,burton,ɜ:ʳ,slow,Pat,
189.41,Vl,buck,ʌ,slow,Pat,
293.08,Vl,rice,aI,slow,Pat,
362.92,Vl,eight,eI,slow,Pat,
280.8,Vl,batch,æ,slow,Pat,
52.46,Vl,picky,I,slow,Pat,
83.42,Vd,cud,ʌ,fast,Conor,
74.99,Vd,mug,ʌ,fast,Conor,
57.46,Vd,piggy,I,fast,Conor,
195.85,Vd,rise,aI,fast,Conor,
173.46,Vd,aid,eI,fast,Conor,
88.85,Vd,burden,ɜ:ʳ,fast,Conor,
140.39,Vd,badge,æ,fast,Conor,
40.59,Vd,bigger,I,fast,Conor,
88,Vd,bug,ʌ,fast,Conor,
63.85,Vd,nibble,I,fast,Conor,
84.03,Vd,leave,i,fast,Conor,
112.28,Vd,serve,ɜ:ʳ,fast,Conor,
64.18,Vd,fuzzy,ʌ,fast,Conor,
65.31,Vl,bicker,I,fast,Conor,
77.35,Vl,leaf,i,fast,Conor,
56.66,Vl,nipple,I,fast,Conor,
83.12,Vl,surf,ɜ:ʳ,fast,Conor,
68.68,Vl,cut,ʌ,fast,Conor,
63.67,Vl,fussy,ʌ,fast,Conor,
57.3,Vl,muck,ʌ,fast,Conor,
69.12,Vl,burton,ɜ:ʳ,fast,Conor,
43.01,Vl,buck,ʌ,fast,Conor,
103.05,Vl,rice,aI,fast,Conor,
122.83,Vl,eight,eI,fast,Conor,
122.98,Vl,batch,æ,fast,Conor,
21.8,Vl,picky,I,fast,Conor,
43.31,Vd,cud,ʌ,normal,Conor,
77.36,Vd,mug,ʌ,normal,Conor,
41.15,Vd,piggy,I,normal,Conor,
164.22,Vd,rise,aI,normal,Conor,
161.03,Vd,aid,eI,normal,Conor,
97.43,Vd,burden,ɜ:ʳ,normal,Conor,
141.03,Vd,badge,æ,normal,Conor,
55.4,Vd,bigger,I,normal,Conor,
113.93,Vd,bug,ʌ,normal,Conor,
50.71,Vd,nibble,I,normal,Conor,
85.91,Vd,leave,i,normal,Conor,
91.87,Vd,serve,ɜ:ʳ,normal,Conor,
70.62,Vd,fuzzy,ʌ,normal,Conor,
49.77,Vl,bicker,I,normal,Conor,
80.01,Vl,leaf,i,normal,Conor,
51.5,Vl,nipple,I,normal,Conor,
69.75,Vl,surf,ɜ:ʳ,normal,Conor,
75.07,Vl,cut,ʌ,normal,Conor,
75.58,Vl,fussy,ʌ,normal,Conor,
55.77,Vl,muck,ʌ,normal,Conor,
85.33,Vl,burton,ɜ:ʳ,normal,Conor,
81.76,Vl,buck,ʌ,normal,Conor,
118.5,Vl,rice,aI,normal,Conor,
78.24,Vl,eight,eI,normal,Conor,
135.4,Vl,batch,æ,normal,Conor,
49.06,Vl,picky,I,normal,Conor,
149,Vd,cud,ʌ,slow,Conor,
108.54,Vd,mug,ʌ,slow,Conor,
73.18,Vd,piggy,I,slow,Conor,
243.57,Vd,rise,aI,slow,Conor,
173.53,Vd,aid,eI,slow,Conor,
131.77,Vd,burden,ɜ:ʳ,slow,Conor,
126.19,Vd,badge,æ,slow,Conor,
82.64,Vd,bigger,I,slow,Conor,
88.4,Vd,bug,ʌ,slow,Conor,
68.91,Vd,nibble,I,slow,Conor,
138.49,Vd,leave,i,slow,Conor,
128.03,Vd,serve,ɜ:ʳ,slow,Conor,
78.91,Vd,fuzzy,ʌ,slow,Conor,
69.15,Vl,bicker,I,slow,Conor,
72.07,Vl,leaf,i,slow,Conor,
59,Vl,nipple,I,slow,Conor,
67.95,Vl,surf,ɜ:ʳ,slow,Conor,
80.01,Vl,cut,ʌ,slow,Conor,
70.56,Vl,fussy,ʌ,slow,Conor,
73.77,Vl,muck,ʌ,slow,Conor,
108.4,Vl,burton,ɜ:ʳ,slow,Conor,
70.5,Vl,buck,ʌ,slow,Conor,
129.76,Vl,rice,aI,slow,Conor,
117.79,Vl,eight,eI,slow,Conor,
165.01,Vl,batch,æ,slow,Conor,
79.27,Vl,picky,I,slow,Conor,
79.4,Vd,cud,ʌ,fast,Marianne,
96.95,Vd,mug,ʌ,fast,Marianne,
62.85,Vd,piggy,I,fast,Marianne,
163.16,Vd,rise,aI,fast,Marianne,
139.58,Vd,aid,eI,fast,Marianne,
104.89,Vd,burden,ɜ:ʳ,fast,Marianne,
114.91,Vd,badge,æ,fast,Marianne,
80.33,Vd,bigger,I,fast,Marianne,
96.65,Vd,bug,ʌ,fast,Marianne,
57.16,Vd,nibble,I,fast,Marianne,
121.5,Vd,leave,i,fast,Marianne,
91.11,Vd,serve,ɜ:ʳ,fast,Marianne,
117.61,Vd,fuzzy,ʌ,fast,Marianne,
56.51,Vl,bicker,I,fast,Marianne,
86.25,Vl,leaf,i,fast,Marianne,
32.79,Vl,nipple,I,fast,Marianne,
96.61,Vl,surf,ɜ:ʳ,fast,Marianne,
52.29,Vl,cut,ʌ,fast,Marianne,
106.56,Vl,fussy,ʌ,fast,Marianne,
40.45,Vl,muck,ʌ,fast,Marianne,
102.51,Vl,burton,ɜ:ʳ,fast,Marianne,
102,Vl,buck,ʌ,fast,Marianne,
126.77,Vl,rice,aI,fast,Marianne,
108.44,Vl,eight,eI,fast,Marianne,
125,Vl,batch,æ,fast,Marianne,
47.75,Vl,picky,I,fast,Marianne,
111.59,Vd,cud,ʌ,normal,Marianne,
134.06,Vd,mug,ʌ,normal,Marianne,
80.05,Vd,piggy,I,normal,Marianne,
158.57,Vd,rise,aI,normal,Marianne,
218.15,Vd,aid,eI,normal,Marianne,
150.34,Vd,burden,ɜ:ʳ,normal,Marianne,
261.1,Vd,badge,æ,normal,Marianne,
69.7,Vd,bigger,I,normal,Marianne,
163.3,Vd,bug,ʌ,normal,Marianne,
115.62,Vd,nibble,I,normal,Marianne,
234.97,Vd,leave,i,normal,Marianne,
